URL,Query,Site is published,Дата запуска,Anchor,Acceptor,Проставлена,Дата простановки,Картинки,LLM,В индексе? (10.10.25),В индексе? (17.10.25),Сайт в индексе,Цитата в индексе,Blacklist,Error Log,Host,Server,Country,Lang,Status generator,Status Add-link,URL Rating,Last_Check_Date,Last_Quote_Check_Date
https://valkomnandesverige.se/,Casino 5 euro deposit utan svensk licens,TRUE,26.09.2025,spela på ett casino utan svensk licens,https://lecapsole.com/,TRUE,01/10/2025 18:45,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,valkomnandesverige.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://frossa.se/,Siru mobile casino utan licens,TRUE,01/10/2025 14:09,Utländska casinon,https://lecapsole.com/,TRUE,06/10/2025 17:40,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,frossa.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://dnidag.se/,Casino utan svensk licens visa,TRUE,22.09.2025,bästa casinon utan svensk licens,https://lecapsole.com/,TRUE,25.09.2025,,Gemini 2.5 Pro,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,dnidag.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://www.fredskockarna.se/,Nya casino utan svensk licens,TRUE,19.09.2025,nya casino utan svensk licens,https://lecapsole.com/,TRUE,25.09.2025,,Gemini 2.5 Pro,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,fredskockarna.se,seotech-web-media1,SE,sv,complited,complited,,02.03.2026,04.03.2026
https://euphoricgreen.se/,Neteller casino utan svensk licens,TRUE,23.09.2025,casino utan svensk licens,https://lecapsole.com/,TRUE,25.09.2025,Nano Banana,Gemini 2.5 Pro,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,euphoricgreen.se,seotech-web-media1,SE,sv,complited,complited,,02.03.2026,04.03.2026
https://agnetapeter.se/,MGA Casino,TRUE,24.09.2025,casino utan svensk licens med MGA-stämpel,https://lecapsole.com/,TRUE,25.09.2025,Nano Banana,Gemini 2.5 Pro,НЕТ,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,agnetapeter.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://envirolight.se/,Casino paypal,TRUE,24.09.2025,online casino,https://lecapsole.com/,TRUE,25.09.2025,Nano Banana,Gemini 2.5 Pro,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,envirolight.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://wattochtarrt.se/,Paysafecard casino,TRUE,24.09.2025,online casino,https://lecapsole.com/,TRUE,25.09.2025,ChatGPT 5 ,Gemini 2.5 Pro,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,wattochtarrt.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://ethadrive.se/,Klarna casino,TRUE,24.09.2025,spela på online casino,https://lecapsole.com/,TRUE,01/10/2025 18:17,ChatGPT 5 ,Gemini 2.5 Pro,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,ethadrive.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://lovgrenschiro.se/,Astropay casino,TRUE,24.09.2025,casinotopplista,https://lecapsole.com/,TRUE,01/10/2025 18:20,ChatGPT 5 ,Gemini 2.5 Pro,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,lovgrenschiro.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://lundensiskalitteratursallskapet.se/,Bettingsidor med zimpler,TRUE,25.09.2025,bästa bettingsidorna,https://lecapsole.com/,TRUE,01/10/2025 18:37,ChatGPT 5 ,Gemini 2.5 Pro,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,lundensiskalitteratursallskapet.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://zenwell.se/,Casino utan svensk licens 10 euro,TRUE,26.09.2025,casino utan svensk licens,https://lecapsole.com/,TRUE,03/10/2025 15:16,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,zenwell.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://hagglundsomradet.se/,Casino utan Svensk Licens,TRUE,30/09/2025 22:37,casinon utan svensk licens ,https://lecapsole.com/,TRUE,02/10/2025 10:01,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,hagglundsomradet.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://torestorpspastorat.se/,bästa casinon online utan svensk licens och spelpaus,TRUE,30/09/2025 22:53,casino utan svensk licens,https://lecapsole.com/,TRUE,03/10/2025 15:44,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,torestorpspastorat.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://ecki.se/,Betting utan svensk licens,TRUE,30/09/2025 23:20,casinon utan svensk licens,https://lecapsole.com/,TRUE,03/10/2025 15:39,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,ecki.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://5startaxi.se/,Casino utan svensk licens kreditkort,TRUE,30/09/2025 23:38,casino utan svensk licens,https://lecapsole.com/,TRUE,02/10/2025 10:03,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,5startaxi.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://kommunbygderadnykoping.se/,Utländska casino med bankid,TRUE,01/10/2025 0:12,casino utan svensk licens,https://lecapsole.com/,TRUE,02/10/2025 10:10,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,kommunbygderadnykoping.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://dittochmittkok.se/,Betting utan svensk licens bankid,TRUE,01/10/2025 0:30,casino utan svensk licens,https://lecapsole.com/,TRUE,03/10/2025 12:26,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,dittochmittkok.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://galenigrekland.se/,Casino utan svensk licens snabba uttag,TRUE,01/10/2025 9:17,prisvärt casino utan svensk licens,https://lecapsole.com/,TRUE,03/10/2025 12:40,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,galenigrekland.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://nynashamnvaxer.se/,Casino utan svensk licens no deposit bonus,TRUE,01/10/2025 9:33,casino utan svensk licens med no deposit bonus,https://lecapsole.com/,TRUE,03/10/2025 12:42,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,nynashamnvaxer.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://monimo.se/,Сasino utan omsättningskrav,TRUE,01/10/2025 10:29,casinon utan svensk licens,https://lecapsole.com/,TRUE,03/10/2025 12:44,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,monimo.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://arstadshembygdsforening.se/,Casino utan konto,TRUE,01/10/2025 10:54,casinon utan svensk licens med låga insättningskrav,https://lecapsole.com/,TRUE,03/10/2025 12:46,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,arstadshembygdsforening.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://sefflejazzclub.se/,Casino utan bankid,TRUE,01/10/2025 11:16,kring casinon utan svensk licens,https://lecapsole.com/,TRUE,05/10/2025 13:05,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,sefflejazzclub.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://ahusmarina.se/,Pay and play casino utan svensk licens,TRUE,01/10/2025 11:44,främsta casinona utan svensk licens,https://lecapsole.com/,TRUE,05/10/2025 13:10,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,ahusmarina.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://skaraborgssenioruniversitet.se/,Casino trustly utan svensk licens,TRUE,01/10/2025 12:01,uttag på casinon utan svensk licens,https://lecapsole.com/,TRUE,05/10/2025 13:15,,,ДА,ДА,Нет | 31.01.2026,Да | 31.01.2026,,,skaraborgssenioruniversitet.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://www.monicabraw.se/,Zimpler casino utan licens,TRUE,01/10/2025 12:30,pålitligt casino utan svensk licens,https://lecapsole.com/,TRUE,05/10/2025 13:21,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,monicabraw.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://www.purelove.se/,Netent casino utan svensk licens,TRUE,01/10/2025 13:08,intresset för casino utan svensk licens vuxit,https://lecapsole.com/,TRUE,05/10/2025 17:25,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,purelove.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://www.minicards.se/,Casino utan svensk licens skrill,TRUE,01/10/2025 13:43,spela på ett casino utan svensk licens,https://lecapsole.com/,TRUE,06/10/2025 17:35,,,ДА,ДА,Нет | 31.01.2026,Нет | 31.01.2026,,,minicards.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://briandal.se/,Casino utan svensk licens mastercard,TRUE,01/10/2025 14:41,onlinecasino,https://lecapsole.com/,TRUE,06/10/2025 17:45,,,ДА,ДА,Нет | 31.01.2026,Да | 31.01.2026,,,briandal.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://specmec.se/,Bitcoin casino utan svensk licens,TRUE,06/10/2025 22:11,casino utan svensk licens,https://lecapsole.com/,TRUE,06/10/2025 22:11,,,ДА,ДА,Нет | 31.01.2026,Да | 31.01.2026,,,specmec.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://www.vinstazoo.se/,Casino utan svensk licens instant bank,TRUE,07/10/2025 8:17,casino utan svensk licens,https://badcinderellabroadway.com/,TRUE,10/10/2025 8:55,,,ДА,ДА,Нет | 31.01.2026,Да | 31.01.2026,,,vinstazoo.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://www.flinkit.se/,Betting utan svensk licens trustly,TRUE,07/10/2025 9:02,betting utan svensk licens,https://badcinderellabroadway.com/,TRUE,10/10/2025 9:00,,,ДА,ДА,Нет | 31.01.2026,Да | 31.01.2026,,,flinkit.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://karne-lindstrom.se/,Casino utan svensk licens faktura,TRUE,07/10/2025 10:20,casino utan svensk licens,https://badcinderellabroadway.com/,TRUE,10/10/2025 9:05,,,ДА,ДА,Нет | 31.01.2026,Да | 31.01.2026,,,karne-lindstrom.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://www.hotellcypern.se/,Casino med apple pay utan svensk licens,TRUE,07/10/2025 11:17,casino utan svensk licens,https://badcinderellabroadway.com/,TRUE,10/10/2025 9:10,,,ДА,ДА,Нет | 31.01.2026,Да | 31.01.2026,,,hotellcypern.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
https://stensbergs.se/,Neosurf casino utan svensk licens,TRUE,07/10/2025 12:19,svenska casinon,https://badcinderellabroadway.com/,TRUE,10/10/2025 9:15,,,ДА,ДА,Нет | 31.01.2026,Да | 31.01.2026,,,stensbergs.se,seotech-web-media1,SE,sv,complited,complited,,04.03.2026,04.03.2026
